Type:          average
Points:        1350
Count:         4
XInc:          1.481481E-012
XOrg:          3.0912800000E-008
YData range:   8.52198E-003
YData center:  2.11200E-003
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.0912800000E-008
YRange:        8.16000E-003
YOffset:       2.11200E-003
Date:          03 APR 2011
Time:          17:49:19:31
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1462430E-008, 5.39E-005
3.1463911E-008, 8.28E-005
3.1465393E-008, 6.38E-005
3.1466874E-008, 3.63E-005
3.1468356E-008, 6.99E-005
3.1469837E-008, 7.51E-005
3.1471319E-008, 6.68E-005
3.1472800E-008, 8.30E-005
3.1474281E-008, 8.02E-005
3.1475763E-008, 1.024E-004
3.1477244E-008, 6.85E-005
3.1478726E-008, 5.91E-005
3.1480207E-008, 6.69E-005
3.1481689E-008, 6.48E-005
3.1483170E-008, 8.36E-005
3.1484652E-008, 7.40E-005
3.1486133E-008, 8.02E-005
3.1487615E-008, 3.52E-005
3.1489096E-008, 6.54E-005
3.1490578E-008, 6.80E-005
3.1492059E-008, 5.24E-005
3.1493541E-008, 5.91E-005
3.1495022E-008, 4.93E-005
3.1496504E-008, 7.81E-005
3.1497985E-008, 4.29E-005
3.1499467E-008, 5.15E-005
3.1500948E-008, 7.70E-005
3.1502430E-008, 5.35E-005
3.1503911E-008, 7.26E-005
3.1505393E-008, 5.50E-005
3.1506874E-008, 5.77E-005
3.1508356E-008, 8.63E-005
3.1509837E-008, 7.07E-005
3.1511319E-008, 7.97E-005
3.1512800E-008, 7.03E-005
3.1514281E-008, 8.79E-005
3.1515763E-008, 7.05E-005
3.1517244E-008, 8.59E-005
3.1518726E-008, 7.71E-005
3.1520207E-008, 7.59E-005
3.1521689E-008, 9.22E-005
3.1523170E-008, 8.10E-005
3.1524652E-008, 3.43E-005
3.1526133E-008, 9.43E-005
3.1527615E-008, 7.85E-005
3.1529096E-008, 9.93E-005
3.1530578E-008, 6.22E-005
3.1532059E-008, 5.99E-005
3.1533541E-008, 8.49E-005
3.1535022E-008, 7.89E-005
3.1536504E-008, 5.44E-005
3.1537985E-008, 7.46E-005
3.1539467E-008, 5.99E-005
3.1540948E-008, 6.34E-005
3.1542430E-008, 6.21E-005
3.1543911E-008, 7.73E-005
3.1545393E-008, 6.64E-005
3.1546874E-008, 5.46E-005
3.1548356E-008, 7.32E-005
3.1549837E-008, 6.15E-005
3.1551319E-008, 7.32E-005
3.1552800E-008, 8.44E-005
3.1554281E-008, 4.33E-005
3.1555763E-008, 6.46E-005
3.1557244E-008, 6.99E-005
3.1558726E-008, 9.30E-005
3.1560207E-008, 9.08E-005
3.1561689E-008, 8.56E-005
3.1563170E-008, 9.10E-005
3.1564652E-008, 8.33E-005
3.1566133E-008, 7.77E-005
3.1567615E-008, 8.85E-005
3.1569096E-008, 7.66E-005
3.1570578E-008, 8.16E-005
3.1572059E-008, 9.69E-005
3.1573541E-008, 1.033E-004
3.1575022E-008, 5.27E-005
3.1576504E-008, 1.048E-004
3.1577985E-008, 7.52E-005
3.1579467E-008, 8.72E-005
3.1580948E-008, 7.46E-005
3.1582430E-008, 8.76E-005
3.1583911E-008, 6.84E-005
3.1585393E-008, 7.44E-005
3.1586874E-008, 6.29E-005
3.1588356E-008, 7.30E-005
3.1589837E-008, 4.84E-005
3.1591319E-008, 4.30E-005
3.1592800E-008, 7.69E-005
3.1594281E-008, 8.72E-005
3.1595763E-008, 6.29E-005
3.1597244E-008, 7.44E-005
3.1598726E-008, 2.86E-005
3.1600207E-008, 5.00E-005
3.1601689E-008, 8.75E-005
3.1603170E-008, 5.25E-005
3.1604652E-008, 5.56E-005
3.1606133E-008, 5.98E-005
3.1607615E-008, 2.42E-005
3.1609096E-008, 8.21E-005
3.1610578E-008, 5.11E-005
3.1612059E-008, 3.13E-005
