Type:          average
Points:        1350
Count:         32
XInc:          1.481481E-012
XOrg:          3.1056800000E-008
YData range:   1.96198E-003
YData center:  4.72000E-004
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.1056800000E-008
YRange:        1.60000E-003
YOffset:       4.72000E-004
Date:          03 APR 2011
Time:          17:41:23:04
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1541244E-008, 2.57208E-004
3.1542726E-008, 2.71183E-004
3.1544207E-008, 2.41779E-004
3.1545689E-008, 2.62680E-004
3.1547170E-008, 2.82438E-004
3.1548652E-008, 2.52941E-004
3.1550133E-008, 2.53900E-004
3.1551615E-008, 2.69514E-004
3.1553096E-008, 2.89271E-004
3.1554578E-008, 2.53776E-004
3.1556059E-008, 2.46788E-004
3.1557541E-008, 2.61877E-004
3.1559022E-008, 2.71802E-004
3.1560504E-008, 3.00432E-004
3.1561985E-008, 2.59403E-004
3.1563467E-008, 2.54271E-004
3.1564948E-008, 2.63237E-004
3.1566430E-008, 2.40883E-004
3.1567911E-008, 2.48303E-004
3.1569393E-008, 2.53559E-004
3.1570874E-008, 2.47469E-004
3.1572356E-008, 2.17663E-004
3.1573837E-008, 2.74028E-004
3.1575319E-008, 2.98051E-004
3.1576800E-008, 2.30958E-004
3.1578281E-008, 2.34885E-004
3.1579763E-008, 2.56218E-004
3.1581244E-008, 2.40512E-004
3.1582726E-008, 2.42243E-004
3.1584207E-008, 3.10388E-004
3.1585689E-008, 2.47159E-004
3.1587170E-008, 2.46015E-004
3.1588652E-008, 2.69544E-004
3.1590133E-008, 2.59063E-004
3.1591615E-008, 2.53745E-004
3.1593096E-008, 2.47530E-004
3.1594578E-008, 2.66916E-004
3.1596059E-008, 2.74832E-004
3.1597541E-008, 2.79779E-004
3.1599022E-008, 2.51179E-004
3.1600504E-008, 2.61073E-004
3.1601985E-008, 3.04977E-004
3.1603467E-008, 2.38100E-004
3.1604948E-008, 3.22786E-004
3.1606430E-008, 2.70905E-004
3.1607911E-008, 3.54756E-004
3.1609393E-008, 2.94125E-004
3.1610874E-008, 2.74801E-004
3.1612356E-008, 2.94403E-004
3.1613837E-008, 3.08255E-004
3.1615319E-008, 3.22817E-004
3.1616800E-008, 2.92332E-004
3.1618281E-008, 3.04946E-004
3.1619763E-008, 3.03926E-004
3.1621244E-008, 2.65711E-004
3.1622726E-008, 2.79036E-004
3.1624207E-008, 2.74491E-004
3.1625689E-008, 3.07945E-004
3.1627170E-008, 2.75728E-004
3.1628652E-008, 2.87725E-004
3.1630133E-008, 3.05565E-004
3.1631615E-008, 3.03988E-004
3.1633096E-008, 2.93661E-004
3.1634578E-008, 2.59341E-004
3.1636059E-008, 2.87817E-004
3.1637541E-008, 2.86735E-004
3.1639022E-008, 2.59712E-004
3.1640504E-008, 2.61598E-004
3.1641985E-008, 2.81294E-004
3.1643467E-008, 2.55075E-004
3.1644948E-008, 2.62557E-004
3.1646430E-008, 2.66762E-004
3.1647911E-008, 2.37142E-004
3.1649393E-008, 2.54703E-004
3.1650874E-008, 2.28855E-004
3.1652356E-008, 3.01576E-004
3.1653837E-008, 2.25671E-004
3.1655319E-008, 2.75945E-004
3.1656800E-008, 2.79346E-004
3.1658281E-008, 2.67968E-004
3.1659763E-008, 2.74337E-004
3.1661244E-008, 3.12491E-004
3.1662726E-008, 2.42923E-004
3.1664207E-008, 2.54116E-004
3.1665689E-008, 2.71554E-004
3.1667170E-008, 2.99072E-004
3.1668652E-008, 2.24527E-004
3.1670133E-008, 2.39337E-004
3.1671615E-008, 2.16797E-004
3.1673096E-008, 2.90074E-004
3.1674578E-008, 2.76687E-004
3.1676059E-008, 2.54116E-004
3.1677541E-008, 2.20415E-004
3.1679022E-008, 2.48458E-004
3.1680504E-008, 2.26629E-004
3.1681985E-008, 2.66422E-004
3.1683467E-008, 2.31051E-004
3.1684948E-008, 2.41192E-004
3.1686430E-008, 2.25207E-004
3.1687911E-008, 2.43882E-004
3.1689393E-008, 2.46108E-004
3.1690874E-008, 2.19796E-004
3.1692356E-008, 2.55755E-004
3.1693837E-008, 2.45459E-004
3.1695319E-008, 2.09871E-004
3.1696800E-008, 2.31731E-004
3.1698281E-008, 2.59867E-004
3.1699763E-008, 2.08975E-004
3.1701244E-008, 2.14231E-004
3.1702726E-008, 2.50931E-004
3.1704207E-008, 2.27464E-004
3.1705689E-008, 2.18281E-004
3.1707170E-008, 2.48489E-004
3.1708652E-008, 2.38440E-004
3.1710133E-008, 2.30865E-004
3.1711615E-008, 2.00287E-004
3.1713096E-008, 2.05295E-004
3.1714578E-008, 2.06532E-004
3.1716059E-008, 2.03719E-004
3.1717541E-008, 2.14169E-004
3.1719022E-008, 1.96484E-004
3.1720504E-008, 1.78242E-004
3.1721985E-008, 1.85878E-004
3.1723467E-008, 1.74284E-004
3.1724948E-008, 2.17045E-004
3.1726430E-008, 2.48025E-004
3.1727911E-008, 2.14355E-004
3.1729393E-008, 2.01090E-004
3.1730874E-008, 2.21992E-004
3.1732356E-008, 2.15313E-004
3.1733837E-008, 1.91506E-004
3.1735319E-008, 1.86033E-004
3.1736800E-008, 1.76974E-004
3.1738281E-008, 1.94319E-004
3.1739763E-008, 1.92835E-004
3.1741244E-008, 1.89651E-004
3.1742726E-008, 2.03471E-004
3.1744207E-008, 1.68440E-004
3.1745689E-008, 1.85940E-004
3.1747170E-008, 1.60494E-004
3.1748652E-008, 1.97009E-004
3.1750133E-008, 2.00225E-004
3.1751615E-008, 1.53476E-004
3.1753096E-008, 1.97226E-004
3.1754578E-008, 1.69306E-004
3.1756059E-008, 1.67235E-004
3.1757541E-008, 1.85755E-004
3.1759022E-008, 1.81674E-004
3.1760504E-008, 1.80560E-004
3.1761985E-008, 1.72336E-004
3.1763467E-008, 1.65750E-004
3.1764948E-008, 1.80653E-004
3.1766430E-008, 1.62380E-004
3.1767911E-008, 1.88352E-004
3.1769393E-008, 1.79478E-004
3.1770874E-008, 1.68533E-004
3.1772356E-008, 1.77438E-004
3.1773837E-008, 2.04924E-004
3.1775319E-008, 1.61082E-004
3.1776800E-008, 1.65874E-004
3.1778281E-008, 1.65874E-004
3.1779763E-008, 1.52332E-004
