Type:          average
Points:        1350
Count:         16
XInc:          1.481481E-012
XOrg:          3.1144800000E-008
YData range:   2.68998E-003
YData center:  5.70000E-004
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.1144800000E-008
YRange:        2.32800E-003
YOffset:       5.70000E-004
Date:          03 APR 2011
Time:          16:24:51:74
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1752207E-008, -1.6101E-005
3.1753689E-008, -2.9454E-005
3.1755170E-008, -1.1268E-005
3.1756652E-008, -1.1395E-005
3.1758133E-008, -2.2290E-005
3.1759615E-008, -6.987E-006
3.1761096E-008, -1.5846E-005
3.1762578E-008, -1.4151E-005
3.1764059E-008, -2.1866E-005
3.1765541E-008, -1.2794E-005
3.1767022E-008, -2.3265E-005
3.1768504E-008, -1.6949E-005
3.1769985E-008, -7.495E-006
3.1771467E-008, -4.698E-006
3.1772948E-008, -1.1904E-005
3.1774430E-008, -9.954E-006
3.1775911E-008, -1.3388E-005
3.1777393E-008, -2.4791E-005
3.1778874E-008, -1.0675E-005
3.1780356E-008, -1.6567E-005
3.1781837E-008, -1.4956E-005
3.1783319E-008, -3.087E-006
3.1784800E-008, -2.7377E-005
3.1786281E-008, -1.4999E-005
3.1787763E-008, -1.9365E-005
3.1789244E-008, -1.3006E-005
3.1790726E-008, -1.645E-006
3.1792207E-008, -1.1311E-005
3.1793689E-008, -1.3388E-005
3.1795170E-008, -7.283E-006
3.1796652E-008, -1.6482E-005
3.1798133E-008, -1.7712E-005
3.1799615E-008, -2.1781E-005
3.1801096E-008, -1.2752E-005
3.1802578E-008, -2.2587E-005
3.1804059E-008, -2.5936E-005
3.1805541E-008, -1.6270E-005
3.1807022E-008, -2.2841E-005
3.1808504E-008, -2.46E-007
3.1809985E-008, -1.0590E-005
3.1811467E-008, -1.7500E-005
3.1812948E-008, -8.513E-006
3.1814430E-008, -6.648E-006
3.1815911E-008, -1.3218E-005
3.1817393E-008, -7.199E-006
3.1818874E-008, -9.021E-006
3.1820356E-008, -1.8220E-005
3.1821837E-008, -1.2625E-005
3.1823319E-008, -1.7627E-005
3.1824800E-008, -1.4151E-005
3.1826281E-008, -8.131E-006
3.1827763E-008, -2.0001E-005
3.1829244E-008, -1.7161E-005
3.1830726E-008, -1.8475E-005
3.1832207E-008, -2.0509E-005
3.1833689E-008, -2.9454E-005
3.1835170E-008, -2.6487E-005
3.1836652E-008, -2.2036E-005
3.1838133E-008, -1.5338E-005
3.1839615E-008, -9.573E-006
3.1841096E-008, -2.0891E-005
3.1842578E-008, -1.9619E-005
3.1844059E-008, -1.5550E-005
3.1845541E-008, -1.6186E-005
3.1847022E-008, -1.0166E-005
3.1848504E-008, -1.4024E-005
3.1849985E-008, -2.0764E-005
3.1851467E-008, -2.89E-007
3.1852948E-008, -1.0463E-005
3.1854430E-008, -1.4363E-005
3.1855911E-008, -2.3265E-005
3.1857393E-008, -1.1395E-005
3.1858874E-008, -1.4575E-005
3.1860356E-008, -1.1395E-005
3.1861837E-008, -2.2036E-005
3.1863319E-008, -1.1014E-005
3.1864800E-008, -1.2158E-005
3.1866281E-008, -1.0420E-005
3.1867763E-008, -1.6779E-005
3.1869244E-008, -2.2036E-005
3.1870726E-008, -2.1103E-005
3.1872207E-008, -2.7080E-005
3.1873689E-008, -5.461E-006
3.1875170E-008, -2.069E-006
3.1876652E-008, -1.8390E-005
3.1878133E-008, -1.7203E-005
3.1879615E-008, -2.5512E-005
3.1881096E-008, -1.6440E-005
3.1882578E-008, -2.0001E-005
3.1884059E-008, -1.5846E-005
3.1885541E-008, -6.732E-006
3.1887022E-008, -1.9746E-005
3.1888504E-008, -7.962E-006
3.1889985E-008, -9.954E-006
3.1891467E-008, -1.1141E-005
3.1892948E-008, -1.0759E-005
3.1894430E-008, -1.4066E-005
3.1895911E-008, -9.827E-006
3.1897393E-008, -5.588E-006
3.1898874E-008, -4.316E-006
3.1900356E-008, -1.4787E-005
3.1901837E-008, -6.012E-006
3.1903319E-008, -1.8687E-005
3.1904800E-008, -1.3981E-005
3.1906281E-008, -1.4108E-005
3.1907763E-008, -9.191E-006
3.1909244E-008, -2.1612E-005
3.1910726E-008, -1.9534E-005
3.1912207E-008, -1.8220E-005
3.1913689E-008, -7.114E-006
3.1915170E-008, -2.832E-006
3.1916652E-008, -1.0039E-005
3.1918133E-008, -1.5634E-005
3.1919615E-008, -7.114E-006
3.1921096E-008, -1.9831E-005
3.1922578E-008, -4.782E-006
3.1924059E-008, -2.324E-006
3.1925541E-008, -9.318E-006
3.1927022E-008, -8.979E-006
3.1928504E-008, -1.0039E-005
3.1929985E-008, 7.469E-006
3.1931467E-008, -1.603E-006
3.1932948E-008, -5.333E-006
3.1934430E-008, -5.418E-006
3.1935911E-008, -2.154E-006
3.1937393E-008, -1.4490E-005
3.1938874E-008, 8.740E-006
3.1940356E-008, 4.417E-006
3.1941837E-008, -9.361E-006
3.1943319E-008, 3.357E-006
3.1944800E-008, 2.848E-006
3.1946281E-008, 5.773E-006
3.1947763E-008, 2.594E-006
3.1949244E-008, 1.6286E-005
3.1950726E-008, 1.3064E-005
3.1952207E-008, 5.264E-006
3.1953689E-008, 2.3705E-005
3.1955170E-008, 1.4760E-005
3.1956652E-008, 3.8796E-005
3.1958133E-008, 4.3586E-005
3.1959615E-008, 2.9978E-005
3.1961096E-008, 3.5065E-005
3.1962578E-008, 2.7986E-005
3.1964059E-008, 4.1466E-005
3.1965541E-008, 5.4184E-005
3.1967022E-008, 4.8927E-005
3.1968504E-008, 3.8033E-005
3.1969985E-008, 4.7020E-005
3.1971467E-008, 4.4858E-005
3.1972948E-008, 6.3213E-005
3.1974430E-008, 5.4693E-005
3.1975911E-008, 5.6049E-005
3.1977393E-008, 6.4824E-005
3.1978874E-008, 8.7970E-005
3.1980356E-008, 6.0203E-005
3.1981837E-008, 7.4023E-005
3.1983319E-008, 8.2840E-005
3.1984800E-008, 8.0170E-005
3.1986281E-008, 6.9190E-005
3.1987763E-008, 7.4404E-005
3.1989244E-008, 1.08529E-004
3.1990726E-008, 1.08360E-004
3.1992207E-008, 1.18322E-004
3.1993689E-008, 1.09462E-004
3.1995170E-008, 1.18873E-004
3.1996652E-008, 1.27733E-004
3.1998133E-008, 1.44096E-004
3.1999615E-008, 9.6278E-005
3.2001096E-008, 9.7465E-005
3.2002578E-008, 1.02467E-004
3.2004059E-008, 1.07724E-004
3.2005541E-008, 1.38542E-004
3.2007022E-008, 8.4282E-005
3.2008504E-008, 1.14718E-004
3.2009985E-008, 1.24087E-004
3.2011467E-008, 1.16923E-004
3.2012948E-008, 1.39051E-004
3.2014430E-008, 1.48165E-004
3.2015911E-008, 1.31845E-004
3.2017393E-008, 1.27690E-004
3.2018874E-008, 1.42654E-004
3.2020356E-008, 1.56601E-004
3.2021837E-008, 1.70166E-004
3.2023319E-008, 1.55499E-004
3.2024800E-008, 1.55160E-004
3.2026281E-008, 1.82375E-004
3.2027763E-008, 1.96618E-004
3.2029244E-008, 1.96745E-004
3.2030726E-008, 1.84198E-004
3.2032207E-008, 1.84706E-004
3.2033689E-008, 1.50454E-004
3.2035170E-008, 2.11752E-004
3.2036652E-008, 1.61773E-004
3.2038133E-008, 2.30913E-004
3.2039615E-008, 2.18789E-004
3.2041096E-008, 2.44096E-004
3.2042578E-008, 1.83562E-004
3.2044059E-008, 1.71480E-004
3.2045541E-008, 1.73981E-004
3.2047022E-008, 2.03486E-004
3.2048504E-008, 1.51853E-004
3.2049985E-008, 2.07047E-004
3.2051467E-008, 1.87716E-004
3.2052948E-008, 2.14211E-004
3.2054430E-008, 2.10141E-004
3.2055911E-008, 2.12515E-004
3.2057393E-008, 2.27479E-004
3.2058874E-008, 2.44224E-004
3.2060356E-008, 2.30531E-004
3.2061837E-008, 2.71820E-004
3.2063319E-008, 2.08403E-004
3.2064800E-008, 2.07301E-004
3.2066281E-008, 3.31168E-004
3.2067763E-008, 2.41383E-004
3.2069244E-008, 2.56941E-004
3.2070726E-008, 2.65334E-004
3.2072207E-008, 2.73177E-004
3.2073689E-008, 2.46258E-004
3.2075170E-008, 2.93609E-004
3.2076652E-008, 2.61816E-004
3.2078133E-008, 3.43843E-004
3.2079615E-008, 2.15864E-004
3.2081096E-008, 3.06454E-004
3.2082578E-008, 2.23961E-004
3.2084059E-008, 2.25020E-004
3.2085541E-008, 2.51896E-004
3.2087022E-008, 2.44859E-004
3.2088504E-008, 2.99968E-004
3.2089985E-008, 3.00604E-004
3.2091467E-008, 3.10184E-004
3.2092948E-008, 3.12304E-004
3.2094430E-008, 3.13533E-004
3.2095911E-008, 3.25360E-004
3.2097393E-008, 3.29006E-004
3.2098874E-008, 2.55076E-004
3.2100356E-008, 3.23114E-004
3.2101837E-008, 2.93821E-004
3.2103319E-008, 2.69446E-004
3.2104800E-008, 3.16670E-004
3.2106281E-008, 3.02172E-004
3.2107763E-008, 3.25784E-004
3.2109244E-008, 3.96578E-004
3.2110726E-008, 3.53763E-004
3.2112207E-008, 2.53804E-004
3.2113689E-008, 3.54356E-004
3.2115170E-008, 3.19765E-004
3.2116652E-008, 2.89837E-004
3.2118133E-008, 3.79070E-004
3.2119615E-008, 3.39222E-004
3.2121096E-008, 3.00307E-004
3.2122578E-008, 3.52024E-004
3.2124059E-008, 3.69362E-004
3.2125541E-008, 3.79621E-004
3.2127022E-008, 3.58383E-004
3.2128504E-008, 3.06284E-004
3.2129985E-008, 3.64021E-004
3.2131467E-008, 3.27226E-004
3.2132948E-008, 3.19850E-004
3.2134430E-008, 4.22648E-004
3.2135911E-008, 3.40240E-004
3.2137393E-008, 4.02343E-004
3.2138874E-008, 3.85047E-004
3.2140356E-008, 4.12983E-004
3.2141837E-008, 3.67073E-004
3.2143319E-008, 3.87082E-004
3.2144800E-008, 3.53678E-004
3.2146281E-008, 4.44988E-004
3.2147763E-008, 4.62666E-004
3.2149244E-008, 4.33670E-004
3.2150726E-008, 4.86786E-004
3.2152207E-008, 3.49735E-004
3.2153689E-008, 4.27184E-004
3.2155170E-008, 3.48930E-004
3.2156652E-008, 2.81782E-004
3.2158133E-008, 3.67073E-004
3.2159615E-008, 3.26208E-004
3.2161096E-008, 3.88778E-004
3.2162578E-008, 3.73262E-004
3.2164059E-008, 3.86573E-004
3.2165541E-008, 3.76908E-004
3.2167022E-008, 4.18282E-004
3.2168504E-008, 4.57409E-004
3.2169985E-008, 4.56816E-004
3.2171467E-008, 3.55034E-004
3.2172948E-008, 3.72881E-004
3.2174430E-008, 4.40156E-004
3.2175911E-008, 2.84877E-004
3.2177393E-008, 4.33797E-004
3.2178874E-008, 4.58087E-004
3.2180356E-008, 3.03995E-004
3.2181837E-008, 3.91618E-004
3.2183319E-008, 3.60291E-004
3.2184800E-008, 4.41555E-004
3.2186281E-008, 3.69532E-004
3.2187763E-008, 3.29345E-004
3.2189244E-008, 3.31295E-004
3.2190726E-008, 3.77925E-004
3.2192207E-008, 3.84030E-004
3.2193689E-008, 3.43546E-004
3.2195170E-008, 3.58680E-004
3.2196652E-008, 4.18536E-004
3.2198133E-008, 3.22096E-004
3.2199615E-008, 4.21843E-004
3.2201096E-008, 3.39477E-004
3.2202578E-008, 4.66693E-004
3.2204059E-008, 3.08785E-004
3.2205541E-008, 3.09125E-004
3.2207022E-008, 3.36085E-004
3.2208504E-008, 3.90516E-004
3.2209985E-008, 3.38163E-004
3.2211467E-008, 3.67540E-004
3.2212948E-008, 3.07556E-004
3.2214430E-008, 3.19722E-004
3.2215911E-008, 3.92381E-004
3.2217393E-008, 3.51007E-004
3.2218874E-008, 3.72076E-004
3.2220356E-008, 3.13237E-004
3.2221837E-008, 3.83691E-004
3.2223319E-008, 3.13660E-004
3.2224800E-008, 3.08828E-004
3.2226281E-008, 3.53763E-004
3.2227763E-008, 2.89625E-004
3.2229244E-008, 3.38714E-004
3.2230726E-008, 4.67456E-004
3.2232207E-008, 3.31380E-004
