Type:          average
Points:        1350
Count:         16
XInc:          1.481481E-012
XOrg:          3.0940800000E-008
YData range:   2.68998E-003
YData center:  5.70000E-004
Coupling:      50 Ohms
XRange:        2.00000E-009
XOffset:       3.0940800000E-008
YRange:        2.32800E-003
YOffset:       5.70000E-004
Date:          03 APR 2011
Time:          16:22:15:12
Frame:         86100C:MY47440989
X Units:       second
Y Units:       Watt
XY Data:
3.1471170E-008, -4.9166E-005
3.1472652E-008, -4.2765E-005
3.1474133E-008, -4.5605E-005
3.1475615E-008, -3.7975E-005
3.1477096E-008, -3.8314E-005
3.1478578E-008, -5.9764E-005
3.1480059E-008, -5.1158E-005
3.1481541E-008, -4.7555E-005
3.1483022E-008, -4.7513E-005
3.1484504E-008, -4.9759E-005
3.1485985E-008, -3.8822E-005
3.1487467E-008, -3.9755E-005
3.1488948E-008, -4.4079E-005
3.1490430E-008, -4.6283E-005
3.1491911E-008, -4.6283E-005
3.1493393E-008, -5.1370E-005
3.1494874E-008, -4.7725E-005
3.1496356E-008, -5.2939E-005
3.1497837E-008, -4.4079E-005
3.1499319E-008, -4.8912E-005
3.1500800E-008, -5.7051E-005
3.1502281E-008, -3.9797E-005
3.1503763E-008, -4.7767E-005
3.1505244E-008, -5.0946E-005
3.1506726E-008, -3.6830E-005
3.1508207E-008, -5.4210E-005
3.1509689E-008, -4.5647E-005
3.1511170E-008, -4.4969E-005
3.1512652E-008, -5.1370E-005
3.1514133E-008, -4.4460E-005
3.1515615E-008, -3.8356E-005
3.1517096E-008, -4.1069E-005
3.1518578E-008, -4.3909E-005
3.1520059E-008, -4.5435E-005
3.1521541E-008, -4.3274E-005
3.1523022E-008, -4.2299E-005
3.1524504E-008, -4.2087E-005
3.1525985E-008, -4.2341E-005
3.1527467E-008, -4.4121E-005
3.1528948E-008, -5.1709E-005
3.1530430E-008, -3.8950E-005
3.1531911E-008, -3.6025E-005
3.1533393E-008, -4.6368E-005
3.1534874E-008, -4.2087E-005
3.1536356E-008, -3.9670E-005
